"pid","sid","Active","RPS","IR","Returns","Risk"
"1st Submission","2bc96665",1,0.164492154346,4.7172030399067,0.0537855393548614,0.011401997942392
"2nd Submission","2bc96665",1,0.1638194896961,-5.71644265362645,-0.0624844633404329,0.0109306551515554
"3rd Submission","2bc96665",0,0.1625037896961,1.00194723882342,0.0154828300822036,0.0154527399071282
"4th Submission","2bc96665",0,0.1600766896961,-3.73357270072061,-0.0594849965202139,0.0159324596809734
"5th Submission","2bc96665",0,0.1555070496961,0.0878101300760192,0.000827582145496232,0.00942467736672039
"6th Submission","2bc96665",0,0.1592991696961,5.27650895237662,0.0471588544218671,0.00893751054864145
"7th Submission","2bc96665",0,0.1640197496961,-4.88590035159276,-0.0609483216887185,0.012474327616782
"8th Submission","2bc96665",0,0.1639166896961,-4.72245959135748,-0.0742833370568266,0.0157297983433827
"9th Submission","2bc96665",0,0.1635352696961,7.65691766550153,0.110808593576212,0.0144716971524277
"10th Submission","2bc96665",0,0.1623679696961,-0.800226010851891,-0.00669329524169526,0.00836425603632882
"11th Submission","2bc96665",0,0.1610328096961,0.590337005892691,0.00634217355859386,0.0107433101690845
"12th Submission","2bc96665",0,0.1663321496961,4.86445093737807,0.033960987087954,0.0069814635865685
"Global","2bc96665",NA,0.162241915083592,0.368304103539633,0.00447214637930106,0.01214253747466
"1st Submission","1240bcc8",1,0.15677305901,3.83331350754998,0.0409313220691733,0.010677791416892
"2nd Submission","1240bcc8",1,0.15913015687,-5.79679877426993,-0.0645169254221597,0.0111297507356179
"3rd Submission","1240bcc8",1,0.15831009297,1.20638268681366,0.0178030703654922,0.01475739875919
"4th Submission","1240bcc8",0,0.15777669297,-4.1517830121898,-0.0639278830214615,0.015397693673722
"5th Submission","1240bcc8",0,0.15842569297,0.524585728691006,0.00473827155380381,0.00903240651557025
"6th Submission","1240bcc8",0,0.15907509297,6.16268942371688,0.0524687526138437,0.00851393750460954
"7th Submission","1240bcc8",0,0.15927649297,-5.24805096579025,-0.0638194850222258,0.0121606069449853
"8th Submission","1240bcc8",0,0.15869709297,-4.78012322094725,-0.0727942691664392,0.0152285340359938
"9th Submission","1240bcc8",0,0.15942429297,7.77702530499167,0.109442060585393,0.0140724835388086
"10th Submission","1240bcc8",0,0.15872509297,-0.208599009462684,-0.00171752682889433,0.00823362888116481
"11th Submission","1240bcc8",0,0.15851869297,0.519582297912331,0.00551725703247132,0.0106186393467205
"12th Submission","1240bcc8",0,0.15861929297,4.99590945936735,0.0337932489704093,0.006764183627677
"Global","1240bcc8",NA,0.158562645465,-0.17666470870282,-0.00208210627059404,0.0117856378100761
"1st Submission","2d729675",1,0.16,3.99035646097327,0.0440478302081265,0.011038570272838
"2nd Submission","2d729675",0,0.16,-5.97221732269625,-0.0625144726295195,0.0104675481905096
"3rd Submission","2d729675",0,0.16,1.21453203633757,0.0178109974456747,0.0146649054226547
"4th Submission","2d729675",0,0.16,-4.13888689112611,-0.0634813262848845,0.0153377775123525
"5th Submission","2d729675",0,0.16,0.577323516705785,0.0051771401370594,0.00896748527861852
"6th Submission","2d729675",0,0.16,6.06005974912247,0.0511523833348131,0.0084409041251153
"7th Submission","2d729675",0,0.16,-5.27299710725433,-0.0636822038415326,0.012077041300463
"8th Submission","2d729675",0,0.16,-4.83445388360696,-0.0730900127360437,0.0151185665425175
"9th Submission","2d729675",0,0.16,7.83887720643266,0.109779330251392,0.0140044712221421
"10th Submission","2d729675",0,0.16,-0.0172969537949137,-0.00014163688740651,0.00818854516730915
"11th Submission","2d729675",0,0.16,0.570010171640681,0.00605104809538858,0.0106156844148441
"12th Submission","2d729675",0,0.16,5.12181357186748,0.034201181895873,0.00667755306122999
"Global","2d729675",NA,0.16,0.453469805791191,0.00531025898894036,0.0117102813045629
"1st Submission","91716b78",1,0.1582035782243,3.8109204026491,0.0416348223995031,0.0109251356629126
"2nd Submission","91716b78",1,0.1592874083713,-5.84270319647623,-0.0636924809873664,0.0109012008389849
"3rd Submission","91716b78",1,0.1550517946669,1.3288220251102,0.0202728041440805,0.0152562222487238
"4th Submission","91716b78",1,0.153658853277,-4.20038873732471,-0.067150418340246,0.0159867151684192
"5th Submission","91716b78",1,0.1548434573971,0.376228009323755,0.00350718792371712,0.00932197453884697
"6th Submission","91716b78",1,0.1561245883064,5.98638634374502,0.0536589498342665,0.00896349596452842
"7th Submission","91716b78",0,0.1579578683064,-4.90931231429787,-0.0615531753472555,0.0125380443138621
"8th Submission","91716b78",1,0.1563200931835,-4.61281766563132,-0.0730553961968755,0.0158374775446228
"9th Submission","91716b78",1,0.1601877658425,7.74584002949191,0.112395826484299,0.0145104760821753
"10th Submission","91716b78",1,0.1558622302657,-0.807706696723734,-0.00675168083696344,0.00835907497653541
"11th Submission","91716b78",1,0.1568382918942,0.591725172110768,0.00626705417753303,0.010591156964267
"12th Submission","91716b78",1,0.1563914918942,5.10949051151576,0.0351132656193042,0.00687216573553979
"Global","91716b78",NA,0.156727285135792,0.0534470469983789,0.000646758873996248,0.0121009281207971
"1st Submission","fb07c974",1,0.1568081048083,3.83001880032374,0.0399884816410139,0.0104408055745402
"2nd Submission","fb07c974",0,0.1620892448083,-5.81156753026339,-0.0608913036607828,0.0104776040790535
"3rd Submission","fb07c974",0,0.1570617248083,1.54181163204567,0.0226002442546364,0.0146582395572218
"4th Submission","fb07c974",0,0.1562691048083,-4.15829909191045,-0.0639168004497613,0.0153709002255525
"5th Submission","fb07c974",0,0.1572654248083,0.197704959643436,0.0017959591617763,0.00908403696606972
"6th Submission","fb07c974",0,0.1575943048083,6.28621080146857,0.0530725282702136,0.00844268987254053
"7th Submission","fb07c974",0,0.1603133848083,-5.04203094654844,-0.0601625886900954,0.0119322132941846
"8th Submission","fb07c974",0,0.1597674648083,-4.6071176123285,-0.0710881282742916,0.0154300658798165
"9th Submission","fb07c974",0,0.1624228048083,7.96091395686196,0.107842972424366,0.0135465567155653
"10th Submission","fb07c974",0,0.1578492248083,-0.853866185228997,-0.00690266173754167,0.00808400877906935
"11th Submission","fb07c974",0,0.1578906048083,0.537289519810555,0.00552490845548369,0.0102829261539137
"12th Submission","fb07c974",0,0.1627542448083,4.21124732680909,0.0285786313205246,0.00678626285817767
"Global","fb07c974",NA,0.159007136474967,-0.306264376743682,-0.00355775728445825,0.0116166213070082
"1st Submission","ccb2bfb9",1,0.165641544,4.90707622341068,0.0482373231652254,0.00983015567092575
"2nd Submission","ccb2bfb9",1,0.15918589316,-5.94571579061715,-0.0600676110130903,0.0101026710876228
"3rd Submission","ccb2bfb9",1,0.16571005284,1.36414740864359,0.0193987580386654,0.0142204265578265
"4th Submission","ccb2bfb9",1,0.16030342836,-3.97299303533681,-0.0652164299623232,0.0164149368957538
"5th Submission","ccb2bfb9",1,0.1593529754,0.784191346731617,0.0069055087878498,0.00880589771441733
"6th Submission","ccb2bfb9",1,0.15781451904,5.92870696406099,0.0527587783590497,0.00889886760787236
"7th Submission","ccb2bfb9",1,0.16015276204,-4.9227866759056,-0.0628159844153663,0.0127602491334465
"8th Submission","ccb2bfb9",1,0.16168729096,-4.82347418362775,-0.0754359091470365,0.015639330962543
"9th Submission","ccb2bfb9",1,0.16034666352,7.76557894252709,0.112209596777592,0.0144496112405854
"10th Submission","ccb2bfb9",1,0.1583418115182,-0.477309459881354,-0.00425523031579275,0.00891503452885784
"11th Submission","ccb2bfb9",1,0.1551454326694,0.510070018943675,0.00567845850461698,0.0111327039302893
"12th Submission","ccb2bfb9",1,0.1560151945899,5.2150690479127,0.0374045977219329,0.00717240699562815
"Global","ccb2bfb9",NA,0.159974797341458,1.23760406677887,0.0148018565013236,0.0119600903864583
"1st Submission","9078bb5f",1,0.202,4.39390886928131,0.049662146054341,0.0113024979652033
"2nd Submission","9078bb5f",0,0.208,-6.05328724561631,-0.0630062851907723,0.0104086065362916
"3rd Submission","9078bb5f",0,0.202,0.796923212510085,0.0115393611191217,0.0144798908326135
"4th Submission","9078bb5f",0,0.214,-4.90377664223998,-0.0738408141633041,0.015057948098055
"5th Submission","9078bb5f",0,0.214,0.899731486915381,0.00849269060027584,0.00943913903623845
"6th Submission","9078bb5f",0,0.204,6.02029400950596,0.0534400215576494,0.00887664646830674
"7th Submission","9078bb5f",0,0.202,-4.96946221334597,-0.0581847760261097,0.0117084653284713
"8th Submission","9078bb5f",0,0.204,-5.236677814301,-0.0779575983697446,0.0148868426002547
"9th Submission","9078bb5f",0,0.202,8.28224702780533,0.11504864182367,0.0138909937650286
"10th Submission","9078bb5f",0,0.2,0.0686624736555881,0.000551234195476579,0.00802817268485808
"11th Submission","9078bb5f",0,0.212,1.53242363196082,0.0167176914413682,0.0109093145607374
"12th Submission","9078bb5f",0,0.206,4.78310436876023,0.0322290114363323,0.00673809495917104
"Global","9078bb5f",NA,0.205833333333333,1.25401119688112,0.0146913244783046,0.0117154651528181
"1st Submission","656bb49c",1,0.163068224,3.77261128251088,0.0474821040825678,0.0125860048986987
"2nd Submission","656bb49c",1,0.18055841474,-6.5952327809562,-0.0618497081206124,0.00937794163978625
"3rd Submission","656bb49c",1,0.16917583736,1.29415811688627,0.019142564325291,0.0147915189616458
"4th Submission","656bb49c",0,0.16964423736,-4.16493126957158,-0.0633426419934873,0.0152085683757281
"5th Submission","656bb49c",0,0.17056383736,0.10718900509297,0.00099830313579326,0.0093134844840419
"6th Submission","656bb49c",0,0.17263463736,6.49975827772812,0.0538808058858121,0.00828966302799882
"7th Submission","656bb49c",0,0.17093123736,-4.65435077229771,-0.0562291039625151,0.012080976856576
"8th Submission","656bb49c",0,0.16650683736,-4.87809976294469,-0.0759080830617024,0.0155609943934152
"9th Submission","656bb49c",0,0.17631323736,7.33435697954231,0.0996624910939101,0.0135884429094327
"10th Submission","656bb49c",0,0.16513043736,-0.720068273755278,-0.00585060235663654,0.00812506614980362
"11th Submission","656bb49c",0,0.17410543736,0.471297320142908,0.00479365317562354,0.0101711869996842
"12th Submission","656bb49c",0,0.17002703736,3.88512354711546,0.0269009830983411,0.00692409978012512
"Global","656bb49c",NA,0.170721617695,-0.878951229624079,-0.0103192346976147,0.0117403950865717
"1st Submission","6f6dc500",1,0.1704399,3.6086835425477,0.0462048613381057,0.0128037997217915
"2nd Submission","6f6dc500",1,0.16,-5.86125933359453,-0.064365522677082,0.0109815176250884
"3rd Submission","6f6dc500",0,0.158,0.972021440977006,0.0153326499876857,0.0157739833107739
"4th Submission","6f6dc500",0,0.1596,-4.01038381011694,-0.0654583318541926,0.0163222112778986
"5th Submission","6f6dc500",1,0.15656281708,0.402445910741741,0.00383557042551146,0.0095306482762918
"6th Submission","6f6dc500",1,0.1614437472,6.3798665069504,0.0571412666429948,0.00895649878892349
"7th Submission","6f6dc500",0,0.1587725472,-4.80251452058208,-0.0602469149650522,0.0125448688820935
"8th Submission","6f6dc500",0,0.1585377472,-4.57605689479972,-0.0733139585778486,0.0160212078353229
"9th Submission","6f6dc500",0,0.1634335472,8.00946705723241,0.111130204232644,0.0138748562717785
"10th Submission","6f6dc500",0,0.1585187472,-0.860024675076919,-0.00724188326302011,0.00842055288980216
"11th Submission","6f6dc500",0,0.1578293472,0.415223689114431,0.00439582116806881,0.0105866338634099
"12th Submission","6f6dc500",0,0.1586437472,4.20037923291875,0.0295256917400439,0.00702929190503761
"Global","6f6dc500",NA,0.16014851229,-0.248385349305063,-0.00306054580214074,0.0123217645916057
"1st Submission","34cf2f3f",1,0.16,3.99035646097327,0.0440478302081265,0.011038570272838
"2nd Submission","34cf2f3f",0,0.16,-5.97221732269625,-0.0625144726295195,0.0104675481905096
"3rd Submission","34cf2f3f",0,0.16,1.21453203633757,0.0178109974456747,0.0146649054226547
"4th Submission","34cf2f3f",0,0.16,-4.13888689112611,-0.0634813262848845,0.0153377775123525
"5th Submission","34cf2f3f",0,0.16,0.577323516705785,0.0051771401370594,0.00896748527861852
"6th Submission","34cf2f3f",0,0.16,6.06005974912247,0.0511523833348131,0.0084409041251153
"7th Submission","34cf2f3f",0,0.16,-5.27299710725433,-0.0636822038415326,0.012077041300463
"8th Submission","34cf2f3f",0,0.16,-4.83445388360696,-0.0730900127360437,0.0151185665425175
